2459118.686655, 17.194
2459118.688889, 17.197
2459118.691112, 17.205
2459118.718072, 17.213
2459118.720305, 17.214
2459118.722551, 17.221
2459118.725005, 17.234
2459118.727587, 17.248
2459118.730121, 17.268
2459118.732390, 17.295
2459118.734624, 17.312
2459118.736870, 17.336
2459118.739265, 17.361
2459118.741488, 17.374
2459118.746097, 17.393
2459118.761815, 17.410
2459118.764073, 17.423
2459118.766307, 17.436
2459118.768588, 17.441
2459118.770868, 17.451
2459118.791274, 17.439
2459118.793520, 17.437
2459118.795789, 17.427
2459118.811822, 17.421
2459118.814056, 17.407
2459118.816732, 17.399
2459118.818966, 17.394
2459118.821200, 17.396
2459118.823434, 17.394
2459118.825737, 17.394
2459118.827983, 17.375
2459118.830217, 17.370
2459118.832451, 17.361
2459118.837047, 17.352
2459118.839293, 17.337
2459118.841689, 17.335
2459118.843969, 17.329
2459118.846215, 17.330
2459118.848438, 17.328
2459118.850706, 17.338
2459118.852941, 17.348
2459118.855175, 17.362
2459118.859724, 17.380
2459118.864226, 17.390
2459118.889112, 17.410
2459118.893615, 17.429
2459118.895872, 17.450
2459118.900399, 17.464
2459118.902679, 17.474
2459118.905029, 17.476
2459118.909671, 17.467
2459118.911917, 17.451
2459118.916409, 17.451
2459118.920923, 17.447
2459118.929964, 17.433
2459118.943589, 17.421
2459118.945870, 17.402
