rb    omega	Omega	   i	    e	      a
632     170.7      46.4      21.8     0.318     0.876
633      35.8     184.0      26.8     0.345     0.932
634     356.8     344.4      16.2     0.358     0.897
635     349.7     175.3      23.8     0.284     0.993
636     193.5      62.0       7.2     0.665     0.891
637     244.3     317.7      50.2     0.214     0.892
638     213.6      69.3       7.8     0.781     0.911
639     278.0      52.9      28.6     0.456     0.930
640     353.1     280.1      13.4     0.739     0.878
641      16.6      96.6      16.7     0.208     0.865
642     336.4     315.4       7.3     0.272     0.908
643      43.9     208.9      36.3     0.656     0.968
644       8.3      40.8      22.6     0.529     0.992
645      25.3     262.9      30.1     0.566     0.922
646      94.1     234.3      16.6     0.369     0.858
647     272.7      81.4       2.5     0.428     0.979
648     331.7       8.7       6.9     0.177     0.980
649     199.0      12.9      19.0     0.482     0.962
650      17.0     358.1      32.1     0.477     0.758
651     197.8     155.8      26.5     0.533     0.662
652     324.3     333.8      25.7     0.895     0.876
653     292.8     349.6      16.7     0.558     0.829
654     253.4     155.9      25.7     0.462     0.819
655     203.8     260.0      12.8     0.346     0.938
656     281.6     237.4      32.5     0.817     0.914
657     126.4     204.4       3.3     0.191     0.922
658       2.8     225.6      28.8     0.595     0.728
659     202.7      75.8      13.6     0.351     0.908
660     195.0     114.3      17.8     0.595     0.954
661      47.7     162.1      19.2     0.643     0.859
662     188.1     294.3      34.7     0.463     0.847
663     172.4     208.4      14.3     0.595     0.859
664     215.6     124.9      18.1     0.415     0.968
665     309.2     130.3      17.1     0.633     0.883
666     172.3     180.5      12.6     0.703     0.739
667     234.3      18.4      33.2     0.345     0.998
668     243.8     245.9      17.1     0.380     0.963
669     341.3      79.9       9.1     0.573     0.855
670     192.6     244.9      38.9     0.688     0.642
671      84.6     102.2       5.4     0.484     0.787
672     151.1     351.9      22.7     0.720     0.991
673      15.0     178.3       1.3     0.265     0.915
674     167.3      82.0       7.3     0.418     0.718
675      82.5     311.9       4.8     0.405     0.927
676      34.4     216.3      14.2     0.280     0.986
677      37.4      58.6      49.0     0.296     0.947
678      43.8     126.3      19.8     0.515     0.998
679     359.4     358.6      23.4     0.280     0.974
680      55.0     152.5       9.9     0.469     0.989
681      40.0     211.5       5.9     0.450     0.844
682     356.0     170.8      15.8     0.436     0.832
683     148.0     108.6      18.9     0.183     0.967
